ID_person,ID,Model,Power,Price
19244,8460,Audi,438.0,605560
1685,3572,Subaru,408.0,456974
9747,5770,Subaru,166.0,2794913
9747,12393,LADA,325.0,3781714
9747,14761,Subaru,73.0,1338458
4399,725,LADA,440.0,1284273
4399,7244,Nissan,152.0,640520
5319,2116,Ford,266.0,2664235
2243,2489,KIA,447.0,3784822
2243,7164,LADA,389.0,873927
18994,6872,BMW,434.0,1521152
2797,11847,Infiniti,161.0,2037411
375,10006,LADA,320.0,2558312
15297,1403,Daewoo,79.0,3717344
14251,14234,Audi,406.0,811169
15945,5314,Daewoo,468.0,806086
15945,6031,LADA,254.0,2660507
13254,386,LADA,192.0,3521880
19851,8207,Ford,86.0,2570468
10787,5869,Ford,352.0,3233718
11597,2864,Daewoo,153.0,620671
11597,5252,Daewoo,333.0,2531859
11597,5830,Subaru,119.0,1722449
5422,1915,Subaru,326.0,2028897
6836,3398,Toyota,179.0,3146322
6836,12171,KIA,74.0,3197340
14252,10095,Nissan,447.0,2369904
18397,9363,Subaru,145.0,2474050
15739,3815,Daewoo,119.0,232269
15739,9911,Toyota,103.0,3969175
15739,11664,Ford,78.0,2767168
426,9316,KIA,122.0,3343466
426,10241,KIA,150.0,3640088
12130,8180,Ford,265.0,1132350
17627,12362,Daewoo,495.0,3382517
19860,13500,BMW,324.0,3467883
11739,241,Toyota,470.0,1338041
11739,7742,Nissan,149.0,3765624
6931,13283,BMW,340.0,3682258
14916,1257,Audi,208.0,3558785
8518,2108,Nissan,350.0,3896288
15245,10593,LADA,157.0,1320763
12218,4742,Daewoo,159.0,2327113
12218,10318,KIA,404.0,2139304
4444,4768,Ford,267.0,3470632
4444,7848,Daewoo,459.0,3472765
311,4287,Nissan,283.0,2182341
311,11519,Daewoo,428.0,281070
4439,6811,Subaru,84.0,968332
4439,10831,Daewoo,305.0,855706
8531,7839,KIA,319.0,2416442
16182,13005,KIA,146.0,3310743
11662,6573,Daewoo,454.0,989707
328,11285,Nissan,367.0,763136
19668,297,Ford,163.0,1519397
16201,7404,Daewoo,195.0,592213
15312,3040,BMW,251.0,1310244
4485,1106,Mercedez-Benz,238.0,2837676
17683,2019,Ford,427.0,229637
17683,10315,Mercedez-Benz,436.0,898581
13199,5373,BMW,112.0,860782
6381,2995,LADA,75.0,426477
6381,10470,Mercedez-Benz,111.0,3755339
6381,11217,Audi,109.0,306992
10630,2082,BMW,379.0,3240828
13562,14770,Toyota,376.0,3376846
3123,3470,Audi,167.0,3256770
12520,5456,LADA,197.0,363198
6187,8418,BMW,226.0,3343875
17409,8299,Infiniti,371.0,3388102
17409,14970,Mercedez-Benz,351.0,2391506
6165,1244,Nissan,338.0,1789580
6165,10118,Toyota,103.0,2340489
6165,11581,Audi,128.0,1919324
1476,10248,Nissan,354.0,3977257
15508,7079,Subaru,431.0,1428437
6143,8873,Toyota,318.0,3499583
9209,375,Infiniti,463.0,3270412
9209,978,Infiniti,109.0,1931830
4921,8328,Infiniti,83.0,1307235
11171,12359,Infiniti,222.0,2575495
18535,8059,BMW,278.0,3048239
2103,13978,Mercedez-Benz,453.0,3237578
18538,6210,Toyota,95.0,3091318
18538,11689,Ford,453.0,1169554
9512,8856,Ford,492.0,1766125
9512,10054,LADA,315.0,3784556
13883,14974,Mercedez-Benz,398.0,2635480
3141,2050,Nissan,315.0,2522757
3141,14781,KIA,224.0,1627680
849,10789,Daewoo,219.0,281703
11341,7353,Daewoo,197.0,3905979
9286,979,Audi,413.0,3837605
6073,6787,Toyota,131.0,3380241
3881,13548,LADA,91.0,967350
17355,11465,Ford,73.0,3769420
18596,14073,BMW,305.0,2444102
3870,11168,LADA,232.0,2008939
7498,7777,KIA,86.0,1815451
7,42,Subaru,163.0,3938379
9338,11916,Mercedez-Benz,437.0,1932698
5026,522,Audi,461.0,1417113
15064,2123,BMW,276.0,1662514
3068,5576,KIA,136.0,2901242
13795,7549,Daewoo,296.0,2479028
745,4369,Audi,311.0,1786000
9231,232,Daewoo,384.0,2533225
9231,6004,Subaru,152.0,3086066
9231,11458,LADA,87.0,1541210
9233,11651,Daewoo,265.0,2987676
11261,14972,Toyota,267.0,989096
10515,12164,Ford,107.0,2504867
19488,8869,Toyota,194.0,3109502
19488,8909,KIA,248.0,1751404
19488,9868,Infiniti,347.0,3718524
11821,14076,KIA,110.0,1402136
7460,8942,Daewoo,276.0,3803624
15492,2512,Infiniti,427.0,3420519
15492,10600,Mercedez-Benz,101.0,207232
15913,8477,Infiniti,87.0,1965797
14538,9500,Mercedez-Benz,287.0,1799389
11123,11862,LADA,84.0,1050008
16000,4086,KIA,329.0,3535870
3694,212,Ford,284.0,2211121
3694,11059,Mercedez-Benz,305.0,2802741
16860,2365,Infiniti,299.0,941396
16860,10086,KIA,163.0,1145168
16860,13929,Nissan,91.0,438808
16860,14370,Audi,322.0,394067
6336,4335,Mercedez-Benz,414.0,585778
5812,13511,Daewoo,153.0,611190
9625,2525,LADA,493.0,2784746
16634,9745,Ford,371.0,3184277
11912,7560,Subaru,273.0,3532081
11912,13547,Infiniti,152.0,1190960
18172,12467,KIA,140.0,1131544
18172,14432,Audi,305.0,2075785
9559,778,Nissan,318.0,2372291
15442,14880,LADA,172.0,3165901
17443,316,Mercedez-Benz,284.0,3073191
14533,7229,Ford,252.0,643042
16360,13527,Daewoo,306.0,2192339
7585,3880,LADA,499.0,3866873
871,6530,BMW,446.0,824591
17115,437,Daewoo,220.0,1249179
17115,443,Audi,430.0,3898698
13571,11048,BMW,194.0,3857416
2060,3911,LADA,255.0,2562374
2060,8533,Audi,361.0,459107
10251,6206,Infiniti,289.0,1431582
10251,10648,Daewoo,189.0,1363303
10414,1335,Infiniti,365.0,1351939
5049,7333,Infiniti,220.0,2350532
5049,13237,Daewoo,196.0,991871
5049,14938,Subaru,408.0,3139112
4582,14010,Toyota,137.0,1899841
16345,7709,LADA,443.0,3651884
16345,11191,Mercedez-Benz,111.0,2408118
15869,184,Daewoo,348.0,3061365
720,13707,Nissan,299.0,3132390
18980,5806,Toyota,494.0,821157
18980,10647,KIA,96.0,3295025
4851,10451,Ford,392.0,394111
15261,5760,BMW,94.0,1155043
3209,3292,Audi,403.0,1531130
4861,11318,Mercedez-Benz,266.0,1177017
10050,6813,Subaru,233.0,257313
7465,4812,LADA,313.0,2324374
13665,10637,Ford,240.0,503419
4640,593,Mercedez-Benz,127.0,1228911
4640,3762,Subaru,315.0,3156942
7656,264,BMW,78.0,342366
7656,3985,Nissan,256.0,204739
902,2497,Mercedez-Benz,101.0,1692331
3292,13808,Daewoo,290.0,3234298
3292,13861,Ford,462.0,2819460
14019,2647,LADA,217.0,2254602
14019,7021,BMW,92.0,2712511
13630,119,Toyota,159.0,2105137
3280,1708,Nissan,264.0,460848
3280,7402,KIA,143.0,3526467
11751,797,Toyota,410.0,1554367
11751,11631,KIA,291.0,1529710
5304,348,LADA,384.0,1958624
7339,12737,Ford,350.0,2364961
7339,14021,KIA,138.0,856896
18129,7496,LADA,496.0,3833680
18129,11110,Infiniti,406.0,832117
17547,9470,Mercedez-Benz,87.0,1614403
12018,2906,Toyota,370.0,1152433
10321,6686,LADA,343.0,2719438
7945,12621,LADA,259.0,1017596
491,8352,Daewoo,387.0,2642452
18881,1652,Infiniti,136.0,294569
18881,9655,Subaru,449.0,915566
7901,6545,Toyota,369.0,1877540
8201,3033,Toyota,196.0,3270304
4804,6829,Mercedez-Benz,251.0,292117
4804,8702,Subaru,184.0,2339085
10086,4376,BMW,469.0,1481063
19235,2248,Subaru,127.0,691907
4648,9891,Toyota,323.0,2556160
4648,14262,Toyota,186.0,2803188
10100,12879,Subaru,122.0,1212562
17150,6966,LADA,473.0,3214212
13990,12233,Audi,88.0,3851833
13990,13254,KIA,305.0,1823338
7889,14254,BMW,204.0,3994080
754,8849,Mercedez-Benz,388.0,2268610
13381,6390,KIA,494.0,204824
10379,10773,BMW,472.0,903826
7403,3387,LADA,333.0,819811
7403,10842,Subaru,249.0,2531543
8108,5842,Toyota,308.0,3828008
8108,6791,Subaru,118.0,216139
8108,11546,KIA,483.0,576613
10115,11260,Subaru,498.0,2057988
10541,10124,Infiniti,226.0,2215143
3181,11122,BMW,467.0,3425579
10265,11328,KIA,423.0,928850
10265,14199,Subaru,470.0,3674942
5024,3270,Subaru,351.0,891667
8848,4621,Nissan,332.0,3245318
11381,7213,Audi,458.0,1036548
1672,3667,Infiniti,87.0,706508
16591,3648,Audi,274.0,1357144
5805,9498,Mercedez-Benz,398.0,950965
12405,10508,Infiniti,412.0,1796975
6332,10491,BMW,295.0,2573623
6332,12852,LADA,300.0,2205173
18516,2899,Infiniti,451.0,2625215
11151,6779,Nissan,352.0,3103685
11151,7413,Nissan,494.0,2326702
1675,3520,Nissan,306.0,1708617
4334,6732,Toyota,428.0,1615967
10982,1944,Daewoo,182.0,1614878
10982,8244,Daewoo,369.0,753098
5689,2839,Daewoo,78.0,874525
3555,3687,Infiniti,408.0,3245593
3555,11660,BMW,335.0,3682859
3555,12228,Audi,346.0,1476963
3575,7026,Mercedez-Benz,73.0,2767742
9758,8359,Subaru,311.0,3867078
12342,8842,Infiniti,452.0,1717139
14445,7489,Ford,458.0,1597423
1269,2771,LADA,119.0,3877684
3613,4452,Infiniti,305.0,3028002
1684,8017,Subaru,133.0,2061931
8800,3454,Daewoo,217.0,877565
18658,8705,Audi,283.0,2018048
12456,3490,Audi,193.0,3769692
9212,5800,Subaru,381.0,892816
9219,974,BMW,82.0,1373953
9219,12872,LADA,276.0,2361037
11260,3556,Nissan,141.0,3515590
15513,10483,BMW,306.0,2649563
2442,6640,KIA,363.0,3818491
3911,3130,Nissan,139.0,3178769
3911,3649,KIA,234.0,3028627
3911,7408,Infiniti,70.0,3690176
39,12723,Nissan,487.0,1785839
19992,14407,Mercedez-Benz,161.0,242095
12584,10330,Mercedez-Benz,205.0,1080889
6086,10297,BMW,159.0,1060165
1513,2401,BMW,162.0,2483156
25,12012,Audi,196.0,1442715
11267,2076,Daewoo,442.0,504224
3836,13114,Mercedez-Benz,440.0,2696711
11243,6853,Infiniti,338.0,1722643
9384,121,Mercedez-Benz,326.0,862856
9384,1129,LADA,221.0,1736411
4055,8303,KIA,436.0,949320
18657,6506,Daewoo,275.0,2127254
6217,10665,Toyota,133.0,946104
9399,13153,Toyota,481.0,1752778
11424,260,Infiniti,283.0,3083311
11424,8384,LADA,163.0,1445000
11424,12670,Subaru,260.0,3542714
1108,6735,Toyota,147.0,324725
19011,2603,Audi,202.0,1408336
19011,3280,LADA,250.0,1663132
19011,14851,Mercedez-Benz,281.0,551037
5536,5880,Infiniti,92.0,1982838
8466,4169,Ford,202.0,2108832
12180,11425,Daewoo,235.0,972800
14296,1850,BMW,382.0,234227
17700,11745,Nissan,286.0,1210486
2730,6850,BMW,424.0,1927181
6690,7682,Mercedez-Benz,173.0,2882395
1792,7638,LADA,352.0,1355824
1792,13673,Ford,128.0,708958
8445,890,Nissan,358.0,1366795
17084,1986,Infiniti,166.0,3884218
13213,1444,Subaru,200.0,1977270
13213,13549,Toyota,75.0,485729
3383,12786,Subaru,165.0,2934115
3389,3960,Infiniti,364.0,2873664
3389,6208,BMW,134.0,821555
13229,8441,Subaru,160.0,319244
13229,12342,Audi,90.0,1466795
18442,6249,Toyota,327.0,670570
18442,6816,Daewoo,88.0,3691886
13176,1694,Audi,276.0,797721
4344,6026,Mercedez-Benz,120.0,3882364
10934,9771,Nissan,136.0,1897107
267,314,KIA,120.0,3921484
1023,7651,Toyota,310.0,1450664
1911,8548,BMW,398.0,1346703
12698,8914,BMW,482.0,1119474
1025,13253,Subaru,138.0,1738017
8698,6276,Audi,208.0,3267464
17108,3776,Mercedez-Benz,160.0,993146
17108,6177,Mercedez-Benz,365.0,3146464
17108,7384,BMW,76.0,3188235
17108,7677,Mercedez-Benz,134.0,3761064
17108,7918,Mercedez-Benz,321.0,325600
17108,10405,Nissan,382.0,2121463
12701,9750,Ford,241.0,3772263
1536,4144,BMW,268.0,3916379
3560,14882,Ford,148.0,3152427
16775,2943,Daewoo,487.0,1650000
16778,8990,KIA,478.0,3956331
16778,9443,Subaru,365.0,217766
12723,342,BMW,250.0,1721366
12723,1888,KIA,285.0,873803
12723,3183,Daewoo,456.0,3346712
1805,3143,KIA,234.0,383676
12679,2858,KIA,350.0,3505724
8686,9507,Toyota,109.0,1745389
19481,7043,Subaru,243.0,3591939
3824,2436,Subaru,387.0,1608539
8316,6525,BMW,320.0,2244383
8316,9304,Mercedez-Benz,192.0,3536037
18602,4374,Infiniti,229.0,1958338
18602,7833,Ford,264.0,474652
9273,14184,Toyota,165.0,3714681
9478,4025,Audi,279.0,2357693
9478,6961,Daewoo,484.0,2983953
9262,13816,Nissan,345.0,1432288
3253,7466,Mercedez-Benz,133.0,1535802
15079,4101,Audi,437.0,3643986
18778,5450,Daewoo,460.0,1912810
18778,7406,Infiniti,402.0,910830
3528,10813,BMW,127.0,2144631
1245,12867,Subaru,373.0,886752
7612,11207,Audi,206.0,3977287
7670,12476,BMW,85.0,524330
7872,6299,Audi,454.0,205065
4254,14110,LADA,374.0,1986158
1900,4208,Mercedez-Benz,404.0,2989809
12903,4738,Toyota,418.0,908172
12903,5636,Nissan,383.0,3847512
9930,3179,Nissan,221.0,2876029
13559,4218,KIA,211.0,470221
13559,8737,Nissan,249.0,2947955
13559,14074,Toyota,197.0,2140960
4847,5814,BMW,460.0,221090
3449,6195,Mercedez-Benz,186.0,2839078
3449,8538,Daewoo,306.0,2398644
3449,9315,Toyota,140.0,3767444
8554,7770,Toyota,220.0,2277004
4838,9645,Daewoo,336.0,2753480
7831,3683,LADA,100.0,2340206
19397,3838,Nissan,101.0,941709
8844,488,Subaru,356.0,1162192
8844,9858,Nissan,384.0,2739402
12866,3574,LADA,130.0,3674268
8775,13836,Subaru,353.0,1474561
9532,148,Daewoo,383.0,2373516
3318,10177,LADA,90.0,204339
4273,2183,LADA,274.0,1960053
13649,7087,Infiniti,461.0,1743137
13649,10907,KIA,191.0,1203060
4752,11268,LADA,273.0,3387247
1903,1090,Ford,143.0,2374994
1903,8235,Nissan,188.0,782539
4878,5183,BMW,113.0,2920550
9575,4727,Nissan,273.0,2893374
9575,13039,Subaru,398.0,251500
3686,10962,KIA,73.0,2684349
1789,5886,Toyota,406.0,1881391
8599,13496,Subaru,491.0,2677831
1339,13126,Nissan,356.0,423606
10595,4915,Toyota,331.0,2636632
253,131,Nissan,88.0,1576453
253,12662,Subaru,319.0,2975595
253,14707,Toyota,318.0,1025512
2156,13687,LADA,78.0,2720671
2301,12466,KIA,198.0,2755088
6613,6044,Toyota,440.0,957683
6613,6428,Toyota,464.0,1852595
5629,12549,Ford,291.0,372816
14361,1707,Daewoo,137.0,3930761
5263,5508,Toyota,491.0,988541
7182,14486,Mercedez-Benz,82.0,2443592
11442,3227,Toyota,118.0,2128129
11442,6945,Subaru,362.0,2363596
11744,1190,Nissan,477.0,2226272
11744,5002,KIA,350.0,2111188
169,13116,BMW,135.0,788659
6394,8956,Ford,476.0,2721229
2630,11135,Nissan,275.0,558776
5606,3679,Subaru,316.0,403035
16137,14241,Nissan,262.0,3723063
7236,12747,KIA,129.0,1830183
2646,9779,Toyota,99.0,855670
7217,5541,Subaru,335.0,3346478
7217,7445,Mercedez-Benz,126.0,1365590
19901,10327,LADA,84.0,681629
14352,12624,KIA,134.0,738144
19237,2011,Nissan,399.0,1868145
19237,11586,BMW,384.0,3666320
482,12198,BMW,378.0,955351
6823,0,LADA,112.0,373960
2232,8586,KIA,193.0,350017
6976,6362,BMW,340.0,3525574
17570,9224,Ford,307.0,2349991
5354,4564,Audi,340.0,2777183
5354,13790,KIA,358.0,3638450
6872,8948,Infiniti,134.0,588553
2855,7781,Audi,422.0,3696984
14233,5729,KIA,111.0,3469308
2780,1269,Subaru,492.0,604344
2780,3074,Infiniti,243.0,1791111
2780,7731,Subaru,138.0,3968597
2780,13074,Daewoo,463.0,716183
2780,13489,BMW,406.0,1981409
493,4583,KIA,366.0,3030422
493,5648,Infiniti,105.0,1994780
7101,9427,Ford,265.0,2107331
18048,10716,BMW,137.0,333782
5575,7893,Mercedez-Benz,290.0,496232
17704,6913,Nissan,89.0,302806
2272,7271,Daewoo,359.0,3553481
11516,4906,Toyota,306.0,1824419
11516,12042,Daewoo,129.0,2151529
6657,10827,Subaru,287.0,3683545
7062,4656,LADA,437.0,674332
7062,6757,Mercedez-Benz,186.0,486694
11830,12851,Subaru,115.0,1785513
17680,7039,Infiniti,495.0,1679055
14928,3019,LADA,70.0,3187357
6759,1435,Ford,171.0,3709051
7278,10727,Ford,85.0,344751
7278,12106,Toyota,479.0,1559823
11440,298,Subaru,124.0,2631784
2845,2529,Subaru,180.0,676435
19172,1808,Infiniti,383.0,1226462
19172,3580,Daewoo,354.0,3347480
6246,2617,Daewoo,273.0,1621986
13905,13898,Daewoo,81.0,1878921
5945,3357,Daewoo,335.0,921225
6117,10517,Audi,392.0,246406
2999,10436,BMW,180.0,3617762
2999,10690,Daewoo,170.0,724790
11160,7204,Nissan,393.0,1838314
11160,13846,Daewoo,466.0,3936156
5119,551,Daewoo,480.0,2458233
5119,1841,BMW,227.0,604210
5119,3064,Daewoo,388.0,1867178
5043,9678,Audi,159.0,2977641
16014,4538,KIA,330.0,1373499
11175,1751,Infiniti,359.0,350101
14689,2098,Toyota,290.0,3177909
14643,499,Toyota,397.0,1325010
6175,304,Mercedez-Benz,294.0,710328
11284,12063,Infiniti,156.0,1694882
10523,7195,Infiniti,93.0,2286201
10523,14127,Subaru,335.0,2827351
6072,5499,Ford,84.0,237917
2764,4382,Nissan,310.0,1838854
6671,8968,Subaru,82.0,2376755
6129,12481,Daewoo,292.0,987617
6673,14181,Infiniti,169.0,3011112
17925,4577,Toyota,167.0,525721
18578,4195,Subaru,372.0,2781489
18578,14954,Subaru,348.0,3550795
2727,365,Subaru,434.0,1981321
9203,2834,KIA,376.0,3688816
13170,2222,Subaru,200.0,985566
13170,14340,Daewoo,169.0,891288
12557,4325,LADA,117.0,2260755
12199,7259,BMW,311.0,3624409
12199,9874,Toyota,221.0,1355760
12199,12620,Nissan,190.0,2026474
66,5095,Audi,193.0,2982415
3415,7875,Mercedez-Benz,447.0,3261171
4464,11274,Daewoo,388.0,1901627
12119,2855,Daewoo,263.0,654757
19855,6227,Toyota,122.0,2992303
19855,14526,Audi,201.0,3614185
5999,2862,Toyota,354.0,1221314
5999,5559,Subaru,455.0,1500022
6848,7923,Audi,312.0,2219212
6848,8294,Toyota,484.0,1603794
3853,14218,KIA,137.0,2486331
10786,8844,Subaru,81.0,568391
16036,4209,Toyota,459.0,214544
9340,3930,Subaru,211.0,2475726
9340,8887,KIA,84.0,3156715
14145,414,KIA,471.0,1363775
18109,4510,LADA,352.0,223134
18109,9361,LADA,426.0,2742366
6908,3839,Ford,463.0,2546532
4610,209,Daewoo,272.0,3896860
10015,7862,KIA,72.0,3512297
36,1620,BMW,341.0,1376927
34,9242,BMW,404.0,3817109
5484,3125,Toyota,287.0,2371876
5484,8903,Subaru,313.0,1205403
17918,6133,LADA,175.0,3608522
17918,6649,Mercedez-Benz,147.0,1805252
12860,14454,LADA,390.0,2770095
5734,3903,Mercedez-Benz,386.0,2214854
8792,5376,KIA,349.0,1524122
1375,1445,Nissan,128.0,769760
1375,14975,LADA,167.0,1472118
3603,3210,Audi,197.0,2339076
11343,8998,Subaru,265.0,915227
11343,9490,Audi,419.0,926394
1628,12212,KIA,78.0,3838644
14580,4528,KIA,183.0,1348406
9717,6876,LADA,138.0,3092942
9717,14163,BMW,344.0,1653528
16071,10577,Ford,194.0,729956
16071,14959,Subaru,423.0,899554
9691,2311,Subaru,488.0,2298614
11133,5033,Ford,244.0,2547694
8955,11251,KIA,131.0,985776
8928,3101,LADA,414.0,221880
8928,11058,Subaru,96.0,733301
5814,2776,Toyota,446.0,2189991
5814,5883,BMW,408.0,2784049
16934,6373,Ford,251.0,1604585
15446,6870,Ford,475.0,2674060
1337,5676,Daewoo,247.0,345173
2569,12245,Infiniti,166.0,1076877
14537,12076,Ford,223.0,2938866
14374,1700,Infiniti,369.0,3104583
14790,7222,KIA,264.0,641770
14790,8583,Infiniti,498.0,287514
19903,4031,Daewoo,280.0,3533739
19903,5212,KIA,260.0,2066045
12287,5192,BMW,247.0,3445941
14355,9307,Mercedez-Benz,220.0,3998992
6639,6418,Audi,154.0,1139651
3660,11529,Infiniti,276.0,2720680
19593,2667,Infiniti,207.0,3424326
5905,12313,Toyota,86.0,2479472
16989,882,Toyota,192.0,3433892
11337,6223,BMW,70.0,617503
11337,7527,Nissan,271.0,2551560
11337,13964,BMW,232.0,3500393
274,2616,Mercedez-Benz,280.0,813305
19197,435,Nissan,132.0,1093530
19197,7982,Audi,129.0,3537263
9088,4298,Daewoo,321.0,1991007
18017,11756,LADA,425.0,3125741
18542,10763,BMW,216.0,2542803
15381,2563,LADA,235.0,1567637
15381,2719,Toyota,196.0,2421263
10533,1900,Ford,173.0,324165
8051,3885,Daewoo,162.0,2405490
496,653,Audi,300.0,3483942
11711,7121,KIA,97.0,3814551
10289,11802,Subaru,378.0,451692
10289,13044,KIA,449.0,3547245
5314,11620,Mercedez-Benz,457.0,1928949
10123,4224,KIA,312.0,1249856
4888,4667,Audi,258.0,2919255
4693,7842,KIA,172.0,3895400
5089,13165,Ford,439.0,1930830
15006,5014,Infiniti,72.0,2518326
17238,6350,BMW,157.0,3019579
2966,13300,Audi,397.0,3019947
17311,13606,Daewoo,197.0,1269227
13863,12123,Toyota,306.0,3849884
13863,13185,LADA,90.0,2557198
5133,4706,Audi,156.0,1128119
2174,4523,Infiniti,148.0,3920462
18967,12588,BMW,162.0,2482747
15110,5342,Toyota,206.0,2287834
15110,12113,Audi,293.0,3509842
7098,2356,Subaru,179.0,1896731
7098,6647,KIA,451.0,775775
7098,7071,Toyota,428.0,2324478
3127,2762,Audi,472.0,2596611
3127,4828,Infiniti,330.0,3232246
512,2591,Infiniti,452.0,290906
10671,10790,Infiniti,413.0,1453989
13692,11468,BMW,219.0,3758847
13995,10015,BMW,73.0,1335560
5095,3757,Nissan,347.0,3645255
1909,9872,Daewoo,391.0,3797986
5065,2214,Ford,477.0,2922372
5065,11729,Ford,353.0,3154513
10741,8570,Infiniti,250.0,1406527
7000,12845,LADA,478.0,1846283
7000,14762,Ford,226.0,3909937
458,6201,LADA,210.0,1989773
3312,2139,Ford,411.0,3545742
3312,3712,Daewoo,493.0,2533686
13750,14208,Infiniti,495.0,539057
8167,1838,BMW,287.0,3778927
4870,10210,Audi,319.0,2583400
18238,13178,Mercedez-Benz,414.0,1420110
998,7422,LADA,245.0,2120185
13919,2907,Ford,245.0,3717959
7455,6594,Toyota,297.0,1524733
3301,7574,Daewoo,236.0,3609285
2208,12087,BMW,123.0,2817843
13786,7126,Subaru,105.0,3413337
3190,6559,Subaru,179.0,2862745
5060,4207,Ford,186.0,3247606
2994,3048,Subaru,310.0,250003
2994,4582,Infiniti,365.0,1121185
2994,5035,Audi,417.0,1105488
2994,6707,Ford,125.0,3938713
2994,8618,Mercedez-Benz,92.0,1027642
2994,10857,Infiniti,90.0,2559276
4827,8562,Audi,204.0,2970202
4827,9518,KIA,413.0,1918882
2946,6094,BMW,300.0,802717
4986,5522,Toyota,183.0,2272182
1374,3269,Audi,213.0,3972217
1374,5781,Ford,322.0,1627365
8786,8100,Nissan,162.0,487173
8786,11440,KIA,339.0,2098559
8786,12759,Ford,315.0,1989211
19954,2935,KIA,267.0,417682
19954,4542,Audi,348.0,393599
9006,7233,Mercedez-Benz,392.0,3778207
7294,13729,Toyota,463.0,1326449
11959,3358,Subaru,407.0,1879168
11959,13918,Daewoo,450.0,1946299
12942,7687,Audi,97.0,1096213
17466,7186,BMW,182.0,3506001
2117,13046,KIA,433.0,1571383
16581,7992,BMW,278.0,3829718
4884,8563,Infiniti,256.0,1222943
165,4179,Nissan,166.0,3575045
605,2712,Infiniti,82.0,3695113
10273,3533,Daewoo,491.0,3024026
10273,9299,Ford,198.0,577319
10273,10454,LADA,472.0,2567335
6377,11028,LADA,395.0,1585031
10542,6440,Daewoo,88.0,3143610
10542,13180,Subaru,164.0,2093915
8872,788,Toyota,417.0,3345179
8872,7338,Audi,418.0,3008342
11103,723,Daewoo,349.0,2653995
11103,10564,Audi,159.0,212733
158,7411,Ford,129.0,3912755
158,14087,Infiniti,320.0,2184830
12941,5327,Ford,389.0,1389587
12941,11141,Toyota,278.0,3173346
19434,2307,BMW,129.0,3040325
6404,9191,Daewoo,169.0,3211904
1304,7711,Mercedez-Benz,161.0,2707223
19934,7132,Subaru,295.0,3281866
18289,7017,KIA,234.0,575598
13646,7089,BMW,415.0,657357
13646,10849,Ford,440.0,1936035
19544,9896,LADA,212.0,1149779
18583,6797,Toyota,223.0,3401633
734,5988,KIA,346.0,1364967
19497,2742,KIA,152.0,1530866
1479,3745,KIA,144.0,1583673
19978,11114,Ford,348.0,2425378
19978,14391,Ford,258.0,3485998
3073,2052,BMW,297.0,3549379
6176,5148,KIA,471.0,1344629
2461,841,KIA,354.0,490829
2461,14804,Audi,101.0,3463801
17358,12458,Mercedez-Benz,478.0,2836071
12595,13744,KIA,171.0,2713532
6071,3475,Subaru,342.0,402790
9282,9088,Infiniti,292.0,2834152
9276,5298,Daewoo,305.0,2556691
9276,6190,Mercedez-Benz,472.0,1994495
9276,7553,BMW,491.0,1828947
9018,1182,BMW,395.0,3411485
3975,2627,Ford,259.0,582418
3975,3706,Subaru,499.0,881231
3975,6421,Audi,306.0,601680
3975,9637,LADA,477.0,599711
18649,6610,Audi,396.0,1765498
17322,4483,KIA,454.0,2241587
1409,3688,Mercedez-Benz,402.0,1705418
1409,4062,LADA,406.0,482293
